"ActivityDT","ActivityCount","SourceHost","SourceDatabase","SourceTable"
"01/05/2004",1437,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/06/1993",700,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/06/1994",6577,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/06/1995",6309,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/06/1996",1467,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/06/1997",1444,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/06/1998",7899,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/06/1999",5022,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/06/2000",1593,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/06/2001",4090,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/06/2002",1382,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/06/2003",1006,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/06/2004",5527,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/07/1993",2660,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/07/1994",5436,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/07/1995",1474,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/07/1996",6771,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/07/1997",7179,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/07/1998",6849,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/07/1999",2897,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/07/2000",319,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/07/2001",1011,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/07/2002",5205,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/07/2003",5127,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/07/2004",4716,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/08/1992",1,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/08/1993",726,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/08/1994",5797,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/08/1995",5787,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/08/1996",5952,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/08/1997",6296,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/08/1998",1341,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/08/1999",601,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/08/2000",1845,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/08/2001",4659,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/08/2002",4242,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/08/2003",4589,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/08/2004",1633,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/09/1993",4035,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/09/1994",5105,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/09/1995",5993,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/09/1996",1515,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/09/1997",6893,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/09/1998",7222,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/09/1999",3021,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/09/2000",1471,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/09/2001",1439,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/09/2002",1547,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/09/2003",4997,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/09/2004",5000,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/10/1993",3405,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/10/1994",1268,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/10/1995",1409,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/10/1996",5935,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/10/1997",6781,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/10/1998",6715,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/10/1999",2296,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/10/2000",370,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/10/2001",5378,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/10/2002",4936,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/10/2003",4736,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/10/2004",4016,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/11/1992",1,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/11/1993",5500,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
